offer_id	first_day_exposition	last_day_exposition	last_price	floor	open_plan	rooms	studio	area	kitchen_area	living_area	agent_fee	renovation	offer_type	category_type	unified_address	building_id
5155955173265527808	2015-02-26T00:00:00+03:00	2018-08-20T00:00:00+03:00	18000.0	1	False	1	False	31.0	6.0	17.0	50.0		2	2	Россия, Санкт-Петербург, улица Софьи Ковалевской, 3к4	1913191560828152062
8450734046673179373	2018-06-10T00:00:00+03:00	2018-06-26T00:00:00+03:00	3050990.0	15	False	2	False	50.59	10.15				1	2	Россия, Санкт-Петербург, Лыжный переулок, 4к3	3174938286544503375
8986669555843999488	2016-02-21T00:00:00+03:00	2016-04-23T00:00:00+03:00	5100000.0	3	False	1	False	40.0	9.5	20.0		10.0	1	2	Россия, Санкт-Петербург, проспект Просвещения, 7к1	5932455266521364409
193030511578378241	2018-02-27T00:00:00+03:00	2018-06-03T00:00:00+03:00	15000.0	12	False	0	True	26.0			50.0		2	2	Россия, Ленинградская область, Всеволожский район, посёлок Мурино, улица Шувалова, 23	4237558241989658649
9174606537143964597	2016-08-19T00:00:00+03:00	2016-09-20T00:00:00+03:00	36000.0	4	False	2	False	49.0	28.0	16.0		0.0	2	2	Россия, Санкт-Петербург, Малая Подьяческая улица, 4	6781389803607105506
6279147802425570841	2017-06-05T00:00:00+03:00	2017-06-24T00:00:00+03:00	3250000.0	11	False	1	False	36.0	6.8	21.2		0.0	1	2	Россия, Санкт-Петербург, проспект Маршала Блюхера, 42	2551218063427564879
1032948023130529884	2015-05-19T00:00:00+03:00	2018-02-27T00:00:00+03:00	3350000.0	3	False	1	False	31.1					1	2	Россия, Санкт-Петербург, проспект Юрия Гагарина, 53	2101577208314194880
2720592953399658240	2017-07-10T00:00:00+03:00	2017-08-08T00:00:00+03:00	16000.0	4	False	0	True	28.0			50.0	11.0	2	2	Россия, Ленинградская область, Всеволожский район, посёлок Мурино, улица Шувалова, 7	9062539333794610735
7621245106350842847	2016-03-06T00:00:00+03:00	2018-03-01T00:00:00+03:00	3800000.0	17	False	1	False	41.0	10.0	15.0	0.0	11.0	1	2	Россия, Санкт-Петербург, посёлок Парголово, улица Фёдора Абрамова, 23к1	4731794338099306507
7521218898221102918	2016-12-22T00:00:00+03:00	2017-01-21T00:00:00+03:00	21000.0	14	False	1	False	40.0	10.0	18.0	50.0	0.0	2	2	Россия, Санкт-Петербург, Ленинский проспект, 84к2	1861668167106621752
5017140	2016-01-07T00:00:00+03:00	2016-01-13T00:00:00+03:00	26000.0	3	False	2	False	55.0	10.0	40.0	90.0	0.0	2	2	Россия, Санкт-Петербург, Будапештская улица, 87к2	5729094119176667461
5028522700621163166	2016-08-22T00:00:00+03:00	2016-10-30T00:00:00+03:00	5670000.0	2	False	1	False	36.2	9.0	17.5		0.0	1	2	Россия, Санкт-Петербург, Варшавская улица, 23к1	6532707473578054586
8979913629846276352	2018-08-15T00:00:00+03:00	2018-08-20T00:00:00+03:00	3850000.0	1	False	2	False	48.0					1	2	Россия, Санкт-Петербург, Колпино, Пролетарская улица, 91	6257656112400819490
8449861274772305937	2016-10-18T00:00:00+03:00	2017-05-19T00:00:00+03:00	35000.0	5	False	1	False	36.0	5.0	22.0	100.0	0.0	2	2	Россия, Санкт-Петербург, улица Академика Павлова, 7А	4854753293915394402
7463077488526316904	2016-04-07T00:00:00+03:00	2016-10-09T00:00:00+03:00	5400000.0	3	False	2	False	47.5	6.7	26.9		0.0	1	2	Россия, Санкт-Петербург, Дегтярная улица, 32-36	2314490472858637384
7060431165940668416	2016-03-14T00:00:00+03:00	2016-03-23T00:00:00+03:00	22000.0	9	False	1	False	43.0	11.0	31.0	50.0	3.0	2	2	Россия, Санкт-Петербург, улица Композиторов, 20А	1767710826726930088
6304244527681721857	2016-07-22T00:00:00+03:00	2016-07-30T00:00:00+03:00	17000.0	8	False	1	False	38.0	8.0	20.0	50.0	8.0	2	2	Россия, Санкт-Петербург, улица Савушкина, 132к2	3173654661061913537
